Index,sta,lat,lon,count,Distance,Azimuth
0,ASQU,43.7967,11.7893,253,0.0,0.0
1,ATBU,43.4757,12.5483,247,70.8740855353,119.950296646
2,ATFO,43.3666,12.5715,259,79.2126892927,126.833293669
3,ATMC,43.4468,12.1928,251,50.7146703479,139.906004036
4,ATPC,43.4807,12.457,256,64.3071511281,122.859486867
5,ATVO,43.3821,12.4066,249,67.8748120246,132.525449417
6,BDI,44.0624,10.597,260,100.190041352,287.55005591
7,BOB,44.7679,9.4478,249,215.81466141,300.814901135
8,CAFI,43.3292,11.9663,255,53.8735556732,164.54576687
9,CARD,44.026,10.4821,253,108.046950397,284.091439825
10,CASP,42.7908,10.8652,247,134.58144489,214.181202187
11,CAVE,44.8658,11.0031,258,134.329181546,332.446974717
12,CPGN,43.8011,12.3205,261,42.7518939277,89.1609724332
13,CRMI,43.7956,10.9795,241,65.1727975319,270.172786478
14,FIR,43.7744,11.2551,238,43.0714218508,266.887058219
15,FROS,43.2097,11.1562,238,82.9135556957,218.352852059
16,GORR,44.6071,9.2926,256,218.932649823,295.152308093
17,GRAM,44.4913,10.0658,258,158.024741682,299.833188097
18,IMOL,44.3595,11.7425,254,62.6470848138,356.585708358
19,MAIM,43.9142,10.4915,263,105.1564123,277.580989793
20,MAON,42.4283,11.1309,235,161.189330042,199.643390477
21,MGAB,42.9126,12.1121,252,101.649352599,164.970301996
22,MILN,45.4803,9.2321,252,275.956922891,313.572553161
23,MMUR,43.4418,12.9973,247,105.176301287,111.60067592
24,MNTV,45.1495,10.7897,251,170.065070296,332.466541002
25,MODE,44.6297,10.9492,255,114.344703074,324.336503635
26,MPAG,43.6292,12.7595,254,80.373953576,103.052542481
27,MSSA,44.3162,9.5174,247,190.972115919,288.380445459
28,MTRZ,44.3128,11.4248,253,64.3553774473,333.135119462
29,MURB,43.263,12.5246,253,83.9576996434,134.676989659
30,ORZI,45.4056,9.9307,255,231.800973581,321.115513532
31,PII,43.7219,10.525,156,102.15136734,265.770823618
32,PRMA,44.7637,10.3131,252,159.470093779,312.872725796
33,RMP,41.8111,12.7022,252,232.871292921,160.985450222
34,SACS,42.8491,11.9097,251,105.729399801,174.658810773
35,SNTG,43.255,12.9406,248,110.835405978,122.490632184
36,TRIF,43.1148,10.9026,227,104.353484349,223.754683834
37,VLC,44.1594,10.3864,249,119.557583164,290.184777861
38,ZCCA,44.3509,10.9765,252,89.6172143359,313.685375302
